name,size,rank
aklncq,103,9.687984732966056
mbqxfu,9,9.964644110136895
erpawh,99,8.910001050556236
lqnprx,105,3.304226129610437
czodqk,7,0.7586980457213577
ybpcuz,0,7.295202705666445
xupber,0,0.356017033443774
ayphvb,8,9.994954888603601
vsnizg,5,0.04064619059854924
chknvs,99,0.6790811113946327
dnuyjt,8,7.2477603084758035
kjmogb,100,7.519552427664859
dlxupo,102,9.28138583331329
pdsewa,7,0.7054610041414946
jysgom,95,9.532875680388322
xnsajv,100,2.6981553050717
zadtxe,1,0.6830657940019212
yvtaru,96,7.744262878425959
qhxpfj,97,0.06870162293075888
bfodhx,96,0.492449375556678
zcklrn,2,0.4734233236539599
dsnxjh,104,0.33393467102177876
upohtg,5,2.5796314347041625
bcputz,104,4.642958963391857
vqjbis,9,8.623721777964002
tdbprz,5,4.695194719198765
xryolc,5,0.42455958818727624
sjzyol,10,0.7475562721598695
gikahq,96,9.859643469968661
kibuot,6,0.9481248128965871
qkzxjf,10,2.1216981286838643
hlztju,104,0.9531798260488246
hkyosi,3,0.2915953237238397
szueyw,4,0.6635731111851254
jngorl,4,7.113273070466489
pxvwgq,97,6.064057569955955
wrzudm,7,8.877894500902862
vlnsge,96,0.3860904969569732
vtdiea,103,0.8857822561290798
rwoeyx,105,0.324327373683011
raovqj,3,0.8070972626070099
iyljmn,95,0.5683182319518284
rbovkw,98,0.44159105844470214
oxlrtk,101,0.2652802140480044
kginpj,99,3.2671600709249162
enksyh,96,0.6841147364447947
crbgqp,101,1.8002801067172636
rinsfw,98,0.4012558580915865
vqudnl,6,0.745274645482024
tlqiwc,5,1.0524912881639537
corbul,6,9.671890700515693
pcsjlg,102,3.160924417159533
gkljzw,9,0.964492782300938
qlhyfj,96,7.049525383578113
cmoauj,97,0.08387496704842279
utlckd,5,0.8968399128215242
lsmcbe,4,9.217788403306365
itodxz,7,0.5045642906382715
poqwkc,6,8.59403553124597
kcbalo,102,8.892797859301782
vrwusq,97,0.5337407866228749
rtxyoi,3,2.464954467624556
efwqup,96,0.20368159898931415
ntwcad,3,7.093916990268637
ltsrib,105,0.8667194978796988
dcvnum,8,0.9426664334947975
tpaevj,103,1.5197074708842695
idmrtc,95,2.40937683574895
pcljmz,8,3.8313285435792444
rpwnyz,101,3.6903260652351886
lmsaok,104,0.7363038942100353
aujcdr,6,4.641301208582939
gipqjl,96,0.97476057415764
khxsya,99,0.678899064601995
sfmyct,3,0.2450403121419923
bjpqlw,10,7.417936682262873
tdbanh,95,1.8463984543919487
svcrdg,9,0.04314962991631166
ztrhuk,104,0.7239861868888675
medwuo,96,0.5908502146473121
tmuzev,98,7.841167782921196
rehcqu,0,0.3189398620760807
pzteru,5,3.785324672168687
hvdplg,98,0.4572346917939968
sqpnmg,7,8.086684663263766
ilfder,2,9.590439631380445
feklsn,4,5.2895463829024365
dhymse,3,8.016680842862348
jutzrb,96,4.090002422901805
lqksvi,99,9.800011928301998
whuynp,95,0.1072856175729503
nxcmfl,100,2.879707335419479
myihvn,7,0.35184183822866966
efaqrh,97,0.9908170616242246
denjth,10,5.079390072287237
zjunro,105,0.07389490010512778
feaybg,105,6.927604158225147
xhsyab,5,1.0230076530134358
ajwcsd,96,1.2458373762855568
lmzadn,97,0.9517150103466008
coqgjx,9,0.34198283289165965
aiwqox,2,6.61535396648091
jqutdw,2,6.8406941737365585
gxozth,5,0.19094672482041541
xvyjou,99,0.15284946858055293
birlef,101,5.048387136513151
xdlzck,5,0.46331199193839434
aqcdfo,2,0.14601853736569093
cinjuk,96,0.3288797863466679
amqfyu,10,0.10434869249609191
wsclqm,102,9.802655891514778
vnqhuy,101,8.24181937982939
xozgqk,99,7.266143563658503
olacis,9,0.5651530739900595
eqavpi,6,1.9076114982341397
jyopcf,1,0.4314691802005325
tjvuhb,97,0.8614925192025498
